"X","Lon","Lat","Week_Number","Chl","Temp","Salinity","MLD","uo","vo","Current_Speed","Solar_Flux","Heat_Flux","distanza_segmento","distanza_cumulata"
54,13.583,45.729,1,0.353305459022522,19.8506813049316,35.8652610778809,7.57397747039795,0.0385860688984394,-0.0899152383208275,0.0978449528352194,269.307647705078,216.963775634766,0.0410000000000021,3.20526467667112
55,13.583,45.729,2,0.446760833263397,21.6483135223389,34.1521186828613,7.59248495101929,0.025261677801609,-0.0945974141359329,0.0979123236705039,174.183898925781,146.782409667969,0.0410000000000021,3.20526467667112
56,13.583,45.729,3,0.556404888629913,22.4125099182129,34.8956489562988,7.57259035110474,0.000844337278977036,-0.0553825832903385,0.0553890191044394,335.566986083984,209.59260559082,0.0410000000000021,3.20526467667112
57,13.583,45.729,4,0.660673916339874,24.0124740600586,34.1224136352539,7.59374809265137,0.0438946858048439,-0.0303485412150621,0.0533645706043653,229.747039794922,202.704742431641,0.0410000000000021,3.20526467667112
58,13.583,45.729,5,0.504937469959259,25.9338817596436,34.2467041015625,7.61861705780029,-0.0189020279794931,-0.0636945515871048,0.0664400674564671,202.26203918457,143.629699707031,0.0410000000000021,3.20526467667112
59,13.583,45.729,6,0.398218154907227,26.2470645904541,34.554126739502,7.59216451644897,0.0225066654384136,-0.0585362762212753,0.0627139986208034,290.745635986328,157.299407958984,0.0410000000000021,3.20526467667112
60,13.583,45.729,7,0.499795973300934,25.2342891693115,34.6993141174316,7.51934766769409,0.0513786189258099,-0.0535939894616604,0.0742433713481557,271.649108886719,54.8446884155273,0.0410000000000021,3.20526467667112
61,13.583,45.729,8,0.35502889752388,25.9737415313721,35.4210891723633,7.49065732955933,0.045005738735199,-0.0886011049151421,0.0993764172793777,318.150360107422,162.225769042969,0.0410000000000021,3.20526467667112
62,13.583,45.729,9,0.36969929933548,27.2130031585693,34.8529624938965,7.58394908905029,0.00550805823877454,-0.0518714115023613,0.052163033240112,215.294097900391,39.3103713989258,0.0410000000000021,3.20526467667112
63,13.583,45.729,10,0.481884181499481,27.2461109161377,35.5965118408203,7.5830397605896,0.0267483219504356,-0.0719607695937157,0.0767712517006463,256.0146484375,49.0940933227539,0.0410000000000021,3.20526467667112
64,13.583,45.729,11,0.516169250011444,26.7475700378418,37.2460479736328,7.58218050003052,-0.0114534683525562,-0.0356124117970467,0.0374089001616652,271.052673339844,-86.0761184692383,0.0410000000000021,3.20526467667112
65,13.583,45.729,12,0.593008577823639,25.6482372283936,35.6038055419922,7.68163919448853,0.0664951577782631,-0.0168440565466881,0.0685953952456295,274.645568847656,62.9468269348145,0.0410000000000021,3.20526467667112
66,13.583,45.729,13,0.443658500909805,25.6092796325684,35.232120513916,7.64265012741089,0.0242432095110416,-0.0274622421711683,0.0366320618101706,166.436889648438,-36.4582672119141,0.0410000000000021,3.20526467667112
67,13.583,45.729,14,0.366968810558319,25.9610404968262,34.7897682189941,7.56073713302612,0.059065543115139,-0.0384517945349216,0.0704789251226363,210.260177612305,4.58227396011353,0.0410000000000021,3.20526467667112
68,13.583,45.729,15,0.510662734508514,25.4363327026367,34.7550582885742,7.56067752838135,0.0748655796051025,-0.0471970289945602,0.0885009296873276,200.345077514648,27.5961303710938,0.0410000000000021,3.20526467667112
69,13.583,45.729,16,0.507673740386963,24.984167098999,34.1604309082031,7.56085824966431,0.0673318728804588,-0.0450273938477039,0.0810002919890201,165.420120239258,-54.6876258850098,0.0410000000000021,3.20526467667112
70,13.583,45.729,17,0.837477147579193,23.0799827575684,34.4661140441895,7.57926940917969,0.00482610519975424,-0.0727781429886818,0.0729379831657012,195.986618041992,-179.288772583008,0.0410000000000021,3.20526467667112
71,13.583,45.729,18,1.20179843902588,21.5455703735352,32.9326515197754,7.76283359527588,0.0436391904950142,-0.0441456697881222,0.0620743031221621,123.236785888672,-86.5100326538086,0.0410000000000021,3.20526467667112
72,13.583,45.729,19,1.44783997535706,21.0339241027832,33.3556938171387,7.59579372406006,0.015529116615653,-0.0623732656240463,0.0642773500345992,76.9446258544922,-161.846649169922,0.0410000000000021,3.20526467667112
73,13.583,45.729,20,1.30545687675476,20.9888877868652,34.340576171875,7.5527400970459,0.0298699103295803,-0.119591556489468,0.12326537196906,119.993690490723,-69.7209701538086,0.0410000000000021,3.20526467667112
74,13.583,45.729,21,1.08503091335297,20.7497119903564,33.8062858581543,7.4592022895813,0.0566805228590965,-0.103904522955418,0.118358909939951,130.393173217773,-65.4956359863281,0.0410000000000021,3.20526467667112
75,13.583,45.729,22,1.54555189609528,19.6865310668945,32.1510429382324,7.56982612609863,-0.00490401871502399,-0.0589085556566715,0.0591123280637167,74.1376571655273,-56.2098350524902,0.0410000000000021,3.20526467667112
76,13.583,45.729,23,1.32321178913116,19.925443649292,33.0828742980957,7.54281234741211,0.0658404901623726,-0.0888792052865028,0.110609598485763,60.5315628051758,-91.3656692504883,0.0410000000000021,3.20526467667112
77,13.583,45.729,24,1.02948462963104,18.8178062438965,33.4252319335938,7.65338754653931,0.0635293126106262,-0.118438214063644,0.134400833745049,50.722110748291,-159.877334594727,0.0410000000000021,3.20526467667112
78,13.583,45.729,25,0.945478796958923,17.386438369751,34.0208129882812,7.59579658508301,0.07576023042202,-0.124087475240231,0.145386773900147,57.1261749267578,-83.5544357299805,0.0410000000000021,3.20526467667112
79,13.583,45.729,26,0.790334045886993,15.9088363647461,35.997501373291,8.08789730072021,-0.0898221433162689,-0.075028233230114,0.117035264820313,31.3102340698242,-402.563507080078,0.0410000000000021,3.20526467667112
80,13.583,45.729,27,1.04065334796906,14.3032026290894,36.4559211730957,7.63781261444092,-0.0497204512357712,-0.0549165718257427,0.074080720381086,32.5861434936523,-285.508270263672,0.0410000000000021,3.20526467667112
81,13.583,45.729,28,0.948049068450928,12.6996583938599,34.3954429626465,7.55978393554688,0.03876031935215,-0.104215681552887,0.111190245245765,60.4470710754395,-63.264045715332,0.0410000000000021,3.20526467667112
82,13.583,45.729,29,0.833083927631378,11.8761005401611,36.9060325622559,7.67431116104126,-0.0336977243423462,-0.0519434213638306,0.0619165216144544,29.2865028381348,-256.169738769531,0.0410000000000021,3.20526467667112
83,13.583,45.729,30,0.83849424123764,11.3724584579468,35.290096282959,7.54109573364258,0.0575069189071655,-0.101845420897007,0.116959546339253,25.7339458465576,-36.7078132629395,0.0410000000000021,3.20526467667112
84,13.583,45.729,31,0.422021150588989,11.9250984191895,34.5979118347168,7.56324577331543,0.051565382629633,-0.0670931413769722,0.0846196094624102,39.1931114196777,-86.8372116088867,0.0410000000000021,3.20526467667112
85,13.583,45.729,32,0.790189027786255,12.1008396148682,34.4552803039551,7.48049306869507,0.0602418482303619,-0.0548695176839828,0.0814846258448971,27.0379085540771,-67.9506149291992,0.0410000000000021,3.20526467667112
86,13.583,45.729,33,1.24182343482971,11.3230781555176,33.9050407409668,7.60688304901123,0.0249611996114254,-0.101238787174225,0.104270578374484,64.1591796875,-65.4166946411133,0.0410000000000021,3.20526467667112
87,13.583,45.729,34,0.790241956710815,10.953145980835,34.7107963562012,7.93040657043457,-0.00833721645176411,-0.0662613809108734,0.0667838287190801,31.9874439239502,-100.762969970703,0.0410000000000021,3.20526467667112
88,13.583,45.729,35,0.750248968601227,10.0182132720947,37.7426795959473,7.62671756744385,-0.0233089290559292,-0.0103373723104596,0.0254983811254636,35.1725540161133,-114.384475708008,0.0410000000000021,3.20526467667112
89,13.583,45.729,36,0.831503868103027,9.14757347106934,34.8478012084961,7.53991365432739,0.0718633756041527,-0.0832661688327789,0.109989088664796,91.8965835571289,-68.2616195678711,0.0410000000000021,3.20526467667112
90,13.583,45.729,37,0.523715019226074,8.518479347229,36.2724761962891,7.38229131698608,-0.0306884981691837,-0.092118926346302,0.0970962435477059,105.071365356445,-186.513519287109,0.0410000000000021,3.20526467667112
