"Lon","Lat","Week_Number","Chl","distanza_segmento","distanza_cumulata"
13.583,45.729,1,0.353305459022522,0.0410000000000021,3.20526467667112
13.583,45.729,2,0.446760833263397,0.0410000000000021,3.20526467667112
13.583,45.729,3,0.556404888629913,0.0410000000000021,3.20526467667112
13.583,45.729,4,0.660673916339874,0.0410000000000021,3.20526467667112
13.583,45.729,5,0.504937469959259,0.0410000000000021,3.20526467667112
13.583,45.729,6,0.398218154907227,0.0410000000000021,3.20526467667112
13.583,45.729,7,0.499795973300934,0.0410000000000021,3.20526467667112
13.583,45.729,8,0.35502889752388,0.0410000000000021,3.20526467667112
13.583,45.729,9,0.36969929933548,0.0410000000000021,3.20526467667112
13.583,45.729,10,0.481884181499481,0.0410000000000021,3.20526467667112
13.583,45.729,11,0.516169250011444,0.0410000000000021,3.20526467667112
13.583,45.729,12,0.593008577823639,0.0410000000000021,3.20526467667112
13.583,45.729,13,0.443658500909805,0.0410000000000021,3.20526467667112
13.583,45.729,14,0.366968810558319,0.0410000000000021,3.20526467667112
13.583,45.729,15,0.510662734508514,0.0410000000000021,3.20526467667112
13.583,45.729,16,0.507673740386963,0.0410000000000021,3.20526467667112
13.583,45.729,17,0.837477147579193,0.0410000000000021,3.20526467667112
13.583,45.729,18,1.20179843902588,0.0410000000000021,3.20526467667112
13.583,45.729,19,1.44783997535706,0.0410000000000021,3.20526467667112
13.583,45.729,20,1.30545687675476,0.0410000000000021,3.20526467667112
13.583,45.729,21,1.08503091335297,0.0410000000000021,3.20526467667112
13.583,45.729,22,1.54555189609528,0.0410000000000021,3.20526467667112
13.583,45.729,23,1.32321178913116,0.0410000000000021,3.20526467667112
13.583,45.729,24,1.02948462963104,0.0410000000000021,3.20526467667112
13.583,45.729,25,0.945478796958923,0.0410000000000021,3.20526467667112
13.583,45.729,26,0.790334045886993,0.0410000000000021,3.20526467667112
13.583,45.729,27,1.04065334796906,0.0410000000000021,3.20526467667112
13.583,45.729,28,0.948049068450928,0.0410000000000021,3.20526467667112
13.583,45.729,29,0.833083927631378,0.0410000000000021,3.20526467667112
13.583,45.729,30,0.83849424123764,0.0410000000000021,3.20526467667112
13.583,45.729,31,0.422021150588989,0.0410000000000021,3.20526467667112
13.583,45.729,32,0.790189027786255,0.0410000000000021,3.20526467667112
13.583,45.729,33,1.24182343482971,0.0410000000000021,3.20526467667112
13.583,45.729,34,0.790241956710815,0.0410000000000021,3.20526467667112
13.583,45.729,35,0.750248968601227,0.0410000000000021,3.20526467667112
13.583,45.729,36,0.831503868103027,0.0410000000000021,3.20526467667112
13.583,45.729,37,0.523715019226074,0.0410000000000021,3.20526467667112
13.583,45.729,38,0.40857195854187,0.0410000000000021,3.20526467667112
13.583,45.729,39,0.243524998426437,0.0410000000000021,3.20526467667112
13.583,45.729,40,0.525118350982666,0.0410000000000021,3.20526467667112
13.583,45.729,41,0.575160384178162,0.0410000000000021,3.20526467667112
13.583,45.729,42,0.461983352899551,0.0410000000000021,3.20526467667112
13.583,45.729,43,0.45946928858757,0.0410000000000021,3.20526467667112
13.583,45.729,44,0.807249307632446,0.0410000000000021,3.20526467667112
13.583,45.729,45,0.964200854301453,0.0410000000000021,3.20526467667112
13.583,45.729,46,1.05546891689301,0.0410000000000021,3.20526467667112
13.583,45.729,47,1.23515963554382,0.0410000000000021,3.20526467667112
13.583,45.729,48,1.28159117698669,0.0410000000000021,3.20526467667112
13.583,45.729,49,1.07300138473511,0.0410000000000021,3.20526467667112
13.583,45.729,50,0.9543776512146,0.0410000000000021,3.20526467667112
13.583,45.729,51,0.674223780632019,0.0410000000000021,3.20526467667112
13.583,45.729,52,0.482434749603271,0.0410000000000021,3.20526467667112
13.583,45.729,53,0.396333962678909,0.0410000000000021,3.20526467667112
13.333,45.646,1,0.34195351600647,0.0586941223633232,2.92087643194449
13.333,45.646,2,0.398291409015656,0.0586941223633232,2.92087643194449
13.333,45.646,3,0.572791159152985,0.0586941223633232,2.92087643194449
13.333,45.646,4,0.841425657272339,0.0586941223633232,2.92087643194449
13.333,45.646,5,0.424181699752808,0.0586941223633232,2.92087643194449
13.333,45.646,6,0.366121113300323,0.0586941223633232,2.92087643194449
13.333,45.646,7,0.588792264461517,0.0586941223633232,2.92087643194449
13.333,45.646,8,0.510856568813324,0.0586941223633232,2.92087643194449
13.333,45.646,9,0.570586919784546,0.0586941223633232,2.92087643194449
13.333,45.646,10,0.601913094520569,0.0586941223633232,2.92087643194449
13.333,45.646,11,0.480019450187683,0.0586941223633232,2.92087643194449
13.333,45.646,12,0.395449221134186,0.0586941223633232,2.92087643194449
13.333,45.646,13,0.568608582019806,0.0586941223633232,2.92087643194449
13.333,45.646,14,0.54984176158905,0.0586941223633232,2.92087643194449
13.333,45.646,15,0.363333314657211,0.0586941223633232,2.92087643194449
13.333,45.646,16,0.382415056228638,0.0586941223633232,2.92087643194449
13.333,45.646,17,0.607073724269867,0.0586941223633232,2.92087643194449
13.333,45.646,18,0.621150314807892,0.0586941223633232,2.92087643194449
13.333,45.646,19,0.952365636825562,0.0586941223633232,2.92087643194449
13.333,45.646,20,0.982815980911255,0.0586941223633232,2.92087643194449
13.333,45.646,21,1.02943301200867,0.0586941223633232,2.92087643194449
13.333,45.646,22,1.05390846729279,0.0586941223633232,2.92087643194449
13.333,45.646,23,1.14402294158936,0.0586941223633232,2.92087643194449
13.333,45.646,24,1.41177403926849,0.0586941223633232,2.92087643194449
13.333,45.646,25,1.14381587505341,0.0586941223633232,2.92087643194449
13.333,45.646,26,1.03264141082764,0.0586941223633232,2.92087643194449
13.333,45.646,27,1.04052150249481,0.0586941223633232,2.92087643194449
